cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
37,1.418644174e-05,68318.25895,1.463737536e-05,1.422251003e-05,1.330241437e-05,1.250426951e-05,93.53070832,37,0.8542699222,-14.57300778
38,1.422251003e-05,68146.52574,1.467426239e-05,1.425770823e-05,1.333522136e-05,1.253510808e-05,93.52990775,38,0.8542240652,-14.57759348
39,1.425770823e-05,67979.73029,1.471026725e-05,1.429207935e-05,1.336726002e-05,1.256522442e-05,93.52914786,39,0.8541805672,-14.58194328
40,1.429207935e-05,67817.6077,1.474543314e-05,1.43256632e-05,1.339856725e-05,1.259465322e-05,93.52842562,40,0.8541392508,-14.58607492
41,1.43256632e-05,67659.91354,1.477980015e-05,1.435849678e-05,1.342917729e-05,1.262342665e-05,93.52773831,41,0.854099956,-14.5900044
42,1.435849678e-05,67506.42184,1.481340549e-05,1.439061447e-05,1.345912201e-05,1.265157469e-05,93.52708345,42,0.8540625378,-14.59374622
43,1.439061447e-05,67356.92323,1.484628383e-05,1.442204834e-05,1.34884311e-05,1.267912523e-05,93.5264588,43,0.8540268649,-14.59731351
44,1.442204834e-05,67211.22342,1.487846745e-05,1.445282829e-05,1.351713229e-05,1.270610435e-05,93.52586231,44,0.8539928181,-14.60071819
45,1.445282829e-05,67069.14177,1.490998653e-05,1.448298228e-05,1.354525149e-05,1.27325364e-05,93.52529212,45,0.8539602887,-14.60397113
46,1.448298228e-05,66930.51004,1.494086926e-05,1.45125365e-05,1.357281297e-05,1.27584442e-05,93.52474653,46,0.8539291773,-14.60708227
47,1.45125365e-05,66795.17131,1.497114208e-05,1.454151548e-05,1.359983951e-05,1.278384914e-05,93.52422398,47,0.8538993933,-14.61006067
48,1.454151548e-05,66662.97899,1.500082977e-05,1.456994229e-05,1.362635247e-05,1.280877132e-05,93.52372304,48,0.8538708535,-14.61291465
49,1.456994229e-05,66533.79591,1.502995562e-05,1.459783857e-05,1.365237195e-05,1.283322964e-05,93.5232424,49,0.8538434816,-14.61565184
50,1.459783857e-05,66407.49359,1.505854153e-05,1.462522474e-05,1.367791689e-05,1.285724187e-05,93.52278084,50,0.8538172072,-14.61827928
51,1.462522474e-05,66283.95145,1.508660812e-05,1.465212002e-05,1.370300511e-05,1.28808248e-05,93.52233727,51,0.8537919656,-14.62080344
52,1.465212002e-05,66163.05627,1.511417483e-05,1.467854256e-05,1.372765345e-05,1.290399424e-05,93.52191063,52,0.8537676972,-14.62323028
53,1.467854256e-05,66044.70152,1.514126004e-05,1.470450948e-05,1.375187783e-05,1.292676516e-05,93.52149999,53,0.8537443467,-14.62556533
54,1.470450948e-05,65928.78692,1.516788108e-05,1.473003701e-05,1.377569329e-05,1.29491517e-05,93.52110445,54,0.8537218631,-14.62781369
55,1.473003701e-05,65815.21791,1.519405438e-05,1.475514048e-05,1.379911409e-05,1.297116725e-05,93.5207232,55,0.8537001988,-14.62998012
56,1.475514048e-05,65703.90525,1.521979548e-05,1.477983446e-05,1.382215372e-05,1.29928245e-05,93.52035549,56,0.85367931,-14.632069
57,1.477983446e-05,65594.76464,1.524511911e-05,1.480413272e-05,1.384482501e-05,1.301413551e-05,93.52000059,57,0.8536591557,-14.63408443
58,1.480413272e-05,65487.71634,1.527003927e-05,1.482804838e-05,1.386714011e-05,1.303511171e-05,93.51965786,58,0.8536396978,-14.63603022
59,1.482804838e-05,65382.68486,1.529456923e-05,1.485159388e-05,1.38891106e-05,1.305576397e-05,93.51932668,59,0.853620901,-14.6379099
60,1.485159388e-05,65279.59867,1.531872163e-05,1.487478108e-05,1.391074748e-05,1.307610263e-05,93.51900647,60,0.8536027319,-14.63972681
61,1.487478108e-05,65178.38994,1.534250847e-05,1.489762124e-05,1.393206122e-05,1.309613755e-05,93.5186967,61,0.8535851598,-14.64148402
62,1.489762124e-05,65078.99426,1.536594121e-05,1.492012511e-05,1.395306181e-05,1.31158781e-05,93.51839686,62,0.8535681557,-14.64318443
63,1.492012511e-05,64981.35044,1.538903075e-05,1.494230293e-05,1.397375876e-05,1.313533324e-05,93.51810649,63,0.8535516924,-14.64483076
64,1.494230293e-05,64885.4003,1.541178748e-05,1.496416448e-05,1.399416117e-05,1.31545115e-05,93.51782514,64,0.8535357446,-14.64642554
65,1.496416448e-05,64791.08845,1.543422134e-05,1.49857191e-05,1.401427771e-05,1.317342105e-05,93.5175524,65,0.8535202884,-14.64797116
66,1.49857191e-05,64698.36215,1.545634181e-05,1.500697571e-05,1.403411668e-05,1.319206968e-05,93.51728788,66,0.8535053015,-14.64946985
67,1.500697571e-05,64607.17114,1.547815796e-05,1.502794284e-05,1.4053686e-05,1.321046484e-05,93.51703122,67,0.8534907628,-14.65092372
68,1.502794284e-05,64517.46747,1.549967845e-05,1.504862866e-05,1.407299327e-05,1.322861367e-05,93.51678206,68,0.8534766524,-14.65233476
69,1.504862866e-05,64429.20536,1.552091159e-05,1.506904099e-05,1.409204576e-05,1.324652302e-05,93.51654009,69,0.8534629518,-14.65370482
70,1.506904099e-05,64342.3411,1.554186532e-05,1.508918733e-05,1.411085044e-05,1.326419942e-05,93.516305,70,0.8534496433,-14.65503567
71,1.508918733e-05,64256.8329,1.556254728e-05,1.510907485e-05,1.412941399e-05,1.328164915e-05,93.5160765,71,0.8534367104,-14.65632896
72,1.510907485e-05,64172.6408,1.558296476e-05,1.512871045e-05,1.414774283e-05,1.329887826e-05,93.51585431,72,0.8534241373,-14.65758627
73,1.512871045e-05,64089.72653,1.560312478e-05,1.514810075e-05,1.416584309e-05,1.331589251e-05,93.51563818,73,0.8534119093,-14.65880907
74,1.514810075e-05,64008.05348,1.562303407e-05,1.516725211e-05,1.418372071e-05,1.333269746e-05,93.51542786,74,0.8534000123,-14.65999877
75,1.516725211e-05,63927.58655,1.564269909e-05,1.518617063e-05,1.420138135e-05,1.334929847e-05,93.51522313,75,0.8533884331,-14.66115669
76,1.518617063e-05,63848.29207,1.566212607e-05,1.520486218e-05,1.421883048e-05,1.336570065e-05,93.51502376,76,0.8533771591,-14.66228409
77,1.520486218e-05,63770.13778,1.568132099e-05,1.522333242e-05,1.423607337e-05,1.338190896e-05,93.51482954,77,0.8533661784,-14.66338216
78,1.522333242e-05,63693.09267,1.570028959e-05,1.524158679e-05,1.425311506e-05,1.339792816e-05,93.51464028,78,0.8533554797,-14.66445203
79,1.524158679e-05,63617.12701,1.571903742e-05,1.525963052e-05,1.426996044e-05,1.341376281e-05,93.51445579,79,0.8533450523,-14.66549477
80,1.525963052e-05,63542.21218,1.573756981e-05,1.527746866e-05,1.428661419e-05,1.342941734e-05,93.51427589,80,0.8533348859,-14.66651141
81,1.527746866e-05,63468.32071,1.57558919e-05,1.529510607e-05,1.430308085e-05,1.3444896e-05,93.51410042,81,0.853324971,-14.6675029
82,1.529510607e-05,63395.42615,1.577400864e-05,1.531254744e-05,1.431936478e-05,1.346020289e-05,93.5139292,82,0.8533152982,-14.66847018
83,1.531254744e-05,63323.50307,1.579192482e-05,1.532979731e-05,1.433547019e-05,1.347534197e-05,93.5137621,83,0.8533058589,-14.66941411
84,1.532979731e-05,63252.52697,1.580964505e-05,1.534686003e-05,1.435140114e-05,1.349031708e-05,93.51359895,84,0.8532966447,-14.67033553
85,1.534686003e-05,63182.47426,1.582717378e-05,1.536373984e-05,1.436716158e-05,1.350513188e-05,93.51343963,85,0.8532876476,-14.67123524
86,1.536373984e-05,63113.32221,1.584451531e-05,1.538044079e-05,1.438275528e-05,1.351978996e-05,93.513284,86,0.85327886,-14.672114
87,1.538044079e-05,63045.0489,1.586167379e-05,1.539696684e-05,1.439818591e-05,1.353429476e-05,93.51313193,87,0.8532702747,-14.67297253
88,1.539696684e-05,62977.63319,1.587865325e-05,1.541332178e-05,1.441345702e-05,1.35486496e-05,93.5129833,88,0.8532618848,-14.67381152
89,1.541332178e-05,62911.0547,1.589545756e-05,1.54295093e-05,1.442857204e-05,1.356285772e-05,93.512838,89,0.8532536837,-14.67463163
90,1.54295093e-05,62845.29373,1.591209048e-05,1.544553297e-05,1.444353428e-05,1.357692223e-05,93.51269592,90,0.8532456651,-14.67543349
91,1.544553297e-05,62780.33127,1.592855564e-05,1.546139623e-05,1.445834696e-05,1.359084614e-05,93.51255695,91,0.853237823,-14.6762177
92,1.546139623e-05,62716.14897,1.594485657e-05,1.547710243e-05,1.447301318e-05,1.360463239e-05,93.51242098,92,0.8532301516,-14.67698484
93,1.547710243e-05,62652.72907,1.596099667e-05,1.549265479e-05,1.448753596e-05,1.36182838e-05,93.51228793,93,0.8532226454,-14.67773546
94,1.549265479e-05,62590.05443,1.597697924e-05,1.550805646e-05,1.450191821e-05,1.363180312e-05,93.5121577,94,0.8532152991,-14.67847009
95,1.550805646e-05,62528.10845,1.599280747e-05,1.552331046e-05,1.451616277e-05,1.3645193e-05,93.5120302,95,0.8532081076,-14.67918924
96,1.552331046e-05,62466.87507,1.600848448e-05,1.553841975e-05,1.453027237e-05,1.365845603e-05,93.51190535,96,0.8532010662,-14.67989338
97,1.553841975e-05,62406.33877,1.602401326e-05,1.555338718e-05,1.454424968e-05,1.36715947e-05,93.51178306,97,0.8531941702,-14.68058298
98,1.555338718e-05,62346.48451,1.603939673e-05,1.556821552e-05,1.455809727e-05,1.368461144e-05,93.51166326,98,0.853187415,-14.6812585
99,1.556821552e-05,62287.29772,1.605463773e-05,1.558290747e-05,1.457181766e-05,1.36975086e-05,93.51154587,99,0.8531807965,-14.68192035
100,1.558290747e-05,62228.7643,1.606973899e-05,1.559746563e-05,1.458541328e-05,1.371028848e-05,93.51143082,100,0.8531743105,-14.68256895
101,1.559746563e-05,62170.87056,1.608470319e-05,1.561189254e-05,1.459888649e-05,1.37229533e-05,93.51131804,101,0.8531679532,-14.68320468
102,1.561189254e-05,62113.60326,1.609953291e-05,1.562619067e-05,1.461223957e-05,1.37355052e-05,93.51120746,102,0.8531617206,-14.68382794
103,1.562619067e-05,62056.94954,1.611423068e-05,1.56403624e-05,1.462547478e-05,1.374794629e-05,93.51109903,103,0.8531556092,-14.68443908
104,1.56403624e-05,62000.89694,1.612879893e-05,1.565441007e-05,1.463859426e-05,1.37602786e-05,93.51099267,104,0.8531496154,-14.68503846
105,1.565441007e-05,61945.43337,1.614324004e-05,1.566833594e-05,1.465160012e-05,1.377250412e-05,93.51088833,105,0.853143736,-14.6856264
106,1.566833594e-05,61890.54707,1.615755632e-05,1.56821422e-05,1.466449443e-05,1.378462476e-05,93.51078595,106,0.8531379676,-14.68620324
107,1.56821422e-05,61836.22666,1.617175003e-05,1.5695831e-05,1.467727916e-05,1.379664241e-05,93.51068548,107,0.8531323072,-14.68676928
108,1.5695831e-05,61782.46106,1.618582334e-05,1.570940442e-05,1.468995626e-05,1.380855889e-05,93.51058687,108,0.8531267517,-14.68732483
109,1.570940442e-05,61729.23953,1.619977838e-05,1.572286447e-05,1.470252762e-05,1.382037596e-05,93.51049005,109,0.8531212982,-14.68787018
110,1.572286447e-05,61676.55162,1.621361723e-05,1.573621315e-05,1.471499507e-05,1.383209537e-05,93.510395,110,0.8531159441,-14.68840559
111,1.573621315e-05,61624.38718,1.62273419e-05,1.574945236e-05,1.472736041e-05,1.384371879e-05,93.51030165,111,0.8531106865,-14.68893135
112,1.574945236e-05,61572.73634,1.624095435e-05,1.576258398e-05,1.473962537e-05,1.385524785e-05,93.51020996,112,0.8531055229,-14.68944771
113,1.576258398e-05,61521.5895,1.625445649e-05,1.577560983e-05,1.475179166e-05,1.386668416e-05,93.51011989,113,0.8531004507,-14.68995493
114,1.577560983e-05,61470.93733,1.62678502e-05,1.578853168e-05,1.476386093e-05,1.387802927e-05,93.51003139,114,0.8530954677,-14.69045323
115,1.578853168e-05,61420.77075,1.628113727e-05,1.580135127e-05,1.477583479e-05,1.38892847e-05,93.50994443,115,0.8530905714,-14.69094286
116,1.580135127e-05,61371.08092,1.629431949e-05,1.581407027e-05,1.478771481e-05,1.390045192e-05,93.50985896,116,0.8530857597,-14.69142403
117,1.581407027e-05,61321.85923,1.630739858e-05,1.582669035e-05,1.479950253e-05,1.391153238e-05,93.50977495,117,0.8530810302,-14.69189698
118,1.582669035e-05,61273.09733,1.632037621e-05,1.58392131e-05,1.481119944e-05,1.392252747e-05,93.50969236,118,0.853076381,-14.6923619
119,1.58392131e-05,61224.78705,1.633325403e-05,1.585164008e-05,1.4822807e-05,1.393343858e-05,93.50961116,119,0.8530718101,-14.69281899
120,1.585164008e-05,61176.92044,1.634603365e-05,1.586397283e-05,1.483432664e-05,1.394426704e-05,93.5095313,120,0.8530673154,-14.69326846
121,1.586397283e-05,61129.48978,1.635871661e-05,1.587621283e-05,1.484575974e-05,1.395501415e-05,93.50945276,121,0.853062895,-14.6937105
122,1.587621283e-05,61082.48752,1.637130445e-05,1.588836154e-05,1.485710765e-05,1.396568119e-05,93.5093755,122,0.8530585472,-14.69414528
123,1.588836154e-05,61035.90632,1.638379866e-05,1.590042037e-05,1.486837171e-05,1.397626941e-05,93.5092995,123,0.8530542702,-14.69457298
124,1.590042037e-05,60989.739,1.639620068e-05,1.591239072e-05,1.48795532e-05,1.398678001e-05,93.50922472,124,0.8530500622,-14.69499378
125,1.591239072e-05,60943.97859,1.640851193e-05,1.592427394e-05,1.489065339e-05,1.399721418e-05,93.50915113,125,0.8530459216,-14.69540784
126,1.592427394e-05,60898.61828,1.642073381e-05,1.593607135e-05,1.49016735e-05,1.400757309e-05,93.5090787,126,0.8530418468,-14.69581532
