sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
367,55450.78177,0.940000001,1.803997053e-05,1.69575723e-05,1.811530683e-05,151.35
368,55432.46305,0.940000001,1.804596986e-05,1.696321167e-05,1.811530683e-05,150.4
369,55414.0347,0.940000001,1.805200934e-05,1.696888878e-05,1.811530683e-05,149.45
370,55395.49538,0.940000001,1.805808951e-05,1.697460414e-05,1.811530683e-05,148.5
371,55376.8437,0.940000001,1.806421089e-05,1.698035824e-05,1.811530683e-05,147.55
372,55358.07825,0.940000001,1.807037405e-05,1.698615161e-05,1.811530683e-05,146.6
373,55339.19759,0.940000001,1.807657953e-05,1.699198476e-05,1.811530683e-05,145.65
374,55320.20027,0.940000001,1.808282792e-05,1.699785824e-05,1.811530683e-05,144.7
375,55301.08479,0.940000001,1.808911979e-05,1.70037726e-05,1.811530683e-05,143.75
376,55281.84963,0.940000001,1.809545573e-05,1.700972839e-05,1.811530683e-05,142.8
377,55262.49324,0.940000001,1.810183636e-05,1.701572618e-05,1.811530683e-05,141.85
378,55243.01404,0.940000001,1.810826228e-05,1.702176655e-05,1.811530683e-05,140.9
379,55223.41041,0.940000001,1.811473414e-05,1.702785009e-05,1.811530683e-05,139.95
380,55203.68072,0.940000001,1.812125258e-05,1.703397742e-05,1.811530683e-05,139
381,55183.82328,0.940000001,1.812781825e-05,1.704014916e-05,1.811530683e-05,138.05
382,55163.83638,0.940000001,1.813443183e-05,1.704636592e-05,1.811530683e-05,137.1
383,55143.71828,0.940000001,1.8141094e-05,1.705262836e-05,1.811530683e-05,136.15
384,55123.46719,0.940000001,1.814780547e-05,1.705893714e-05,1.811530683e-05,135.2
385,55103.0813,0.940000001,1.815456694e-05,1.706529293e-05,1.811530683e-05,134.25
386,55082.55873,0.940000001,1.816137917e-05,1.707169642e-05,1.811530683e-05,133.3
387,55061.89761,0.940000001,1.816824288e-05,1.70781483e-05,1.811530683e-05,132.35
388,55041.09598,0.940000001,1.817515884e-05,1.708464931e-05,1.811530683e-05,131.4
389,55020.15188,0.940000001,1.818212784e-05,1.709120017e-05,1.811530683e-05,130.45
390,54999.06329,0.940000001,1.818915068e-05,1.709780164e-05,1.811530683e-05,129.5
391,54977.82813,0.940000001,1.819622817e-05,1.710445448e-05,1.811530683e-05,128.55
392,54956.4443,0.940000001,1.820336115e-05,1.711115948e-05,1.811530683e-05,127.6
393,54934.90964,0.940000001,1.821055047e-05,1.711791744e-05,1.811530683e-05,126.65
394,54913.22195,0.940000001,1.821779701e-05,1.712472919e-05,1.811530683e-05,125.7
395,54891.37898,0.940000001,1.822510166e-05,1.713159556e-05,1.811530683e-05,124.75
396,54869.37843,0.940000001,1.823246534e-05,1.713851742e-05,1.811530683e-05,123.8
397,54847.21794,0.940000001,1.823988898e-05,1.714549564e-05,1.811530683e-05,122.85
398,54824.8951,0.940000001,1.824737355e-05,1.715253113e-05,1.811530683e-05,121.9
399,54802.40745,0.940000001,1.825492002e-05,1.715962482e-05,1.811530683e-05,120.95
400,54779.75246,0.940000001,1.826252941e-05,1.716677764e-05,1.811530683e-05,120
